Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:60 \n RN:533"      49687     45746     47533     49578
"NN:90 \n RN:355"  49771     46938      47586     49871
"NN:120 \n RN:266"  49876     47602      47521     49521
"NN:150 \n RN:213"  49321     46553      47511     49658
