Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:60 \n RN:200"      18779     19049     19136     18597
"NN:60 \n RN:400"  37761     35226      38599     37948
"NN:60 \n RN:600"  48586     51993      53412     49246
"NN:60 \n RN:800"  71949     69123      71924     72102
