Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:20 \n RN:400"      8103     16229     3777     784
"NN:40 \n RN:400"  12911     24170      5718     1219
"NN:60 \n RN:400"  17599     35075      7600     1541
"NN:80 \n RN:400"  20739     41997      8981     2001
"NN:100 \n RN:400"  24661     49430      10612     2260
