Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:40 \n RN:800"      20452     39230     9255     1944
"NN:60 \n RN:533"  19195     41826      9002     1860
"NN:80 \n RN:400"  20549     40609      8670     2007
"NN:100 \n RN:320"  19970     39103      8993     1865
