Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:20 \n RN:400"      13635     13580     13481     13214
"NN:40 \n RN:400"  26718     24741      24959     26874
"NN:60 \n RN:400"  37761     35385      36232     37645
"NN:80 \n RN:400"  48513     45690      48545     48435
"NN:100 \n RN:400"  61061     57326      60056     61145
