Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:40 \n RN:800"      49011     46410     47547     49214
"NN:60 \n RN:533"  49529     46174      47526     49547
"NN:80 \n RN:400"  49659     46974      47531     49357
"NN:100 \n RN:320" 50020     46717      47525     49961
