Experiment RDF/XML   Turtle   JSON-LD   EN
"NN:60 \n RN:533"      20322     40983     9356     1972
"NN:90 \n RN:355"  18926     38865      8963     1832
"NN:120 \n RN:266"  18767     38834      8283     1773
"NN:150 \n RN:213"  19004     39883      8878     1884
